s,intensity
9.84886,2.74257
9.38083,96.0399
9,5.58813
8.7178,170.104
8.544,7.34537
8.48528,228.841
8.544,6.54752
8.7178,182.239
9,3.95683
9.38083,94.7998
9.84886,1.54525
9.69536,2.51985
9.43398,0.0138736
9.27362,3.70008
9.21954,0.00643342
9.27362,3.82071
9.43398,0.476945
9.69536,2.56018
10,48.9456
9.89949,0.32681
9.64365,3.51722
9.48683,0.0023008
9.43398,4.21457
9.48683,0.000723645
9.64365,3.5078
9.89949,0.270416
9.94987,62.0021
9.48683,2.61255
9.11043,119.606
8.83176,4.44264
8.66025,160.41
8.60233,4.61719
8.66025,217.598
8.83176,3.1672
9.11043,132.432
9.48683,1.54533
9.94987,51.3659
9.84886,1.65436
9.27362,0.0949159
8.77496,4.20107
8.3666,1.84818
8.06226,7.83669
7.87401,4.47425
7.81025,10.3658
7.87401,4.34328
8.06226,7.97848
8.3666,2.07032
8.77496,4.35219
9.27362,0.048469
9.84886,1.64665
9.94987,59.0745
9.27362,3.81859
8.66025,150.397
8.12404,9.36161
7.68115,465.961
7.34847,13.4077
7.14143,853.421
7.07107,15.5176
7.14143,448.123
7.34847,11.6595
7.68115,386.402
8.12404,5.06961
8.66025,236.51
9.27362,1.60005
9.94987,55.9321
9.48683,0.192806
8.77496,1.81434
8.12404,0.0941064
7.54983,5.88146
7.07107,26.6091
6.7082,10.1106
6.48074,14.2635
6.40312,10.3794
6.48074,14.555
6.7082,10.1325
7.07107,25.7434
7.54983,5.6004
8.12404,0.0445036
8.77496,1.94894
9.48683,0.264449
9.89949,2.36671
9.11043,122.2
8.3666,8.12491
7.68115,542.938
7.07107,19.4265
6.55744,845.534
6.16441,35.7013
5.91608,938.265
5.83095,34.6562
5.91608,2020.85
6.16441,23.1714
6.55744,1076.05
7.07107,12.0188
7.68115,329.983
8.3666,3.6617
9.11043,136.812
9.89949,0.743097
9.64365,0.224674
8.83176,0.689058
8.06226,0.992856
7.34847,0.0619023
6.7082,2.02267
6.16441,24.0329
5.74456,4.1918
5.47723,26.4551
5.38516,6.69554
5.47723,26.2521
5.74456,4.1738
6.16441,24.6297
6.7082,2.31059
7.34847,0.0332325
8.06226,0.937353
8.83176,0.609793
9.64365,0.223881
9.48683,3.42274
8.66025,196.026
7.87401,12.7636
7.14143,566.348
6.48074,31.0034
5.91608,1506.52
5.47723,46.8879
5.19615,2528.39
5.09902,52.6028
5.19615,1789.15
5.47723,38.3141
5.91608,1367.1
6.48074,17.2481
7.14143,728.784
7.87401,5.43444
8.66025,192.254
9.48683,1.12345
9.48683,3.42274
8.66025,196.026
7.87401,12.7636
7.14143,566.348
6.48074,31.0034
5.91608,1506.52
5.47723,46.8879
5.19615,2528.39
5.09902,52.6028
5.19615,1789.15
5.47723,38.3141
5.91608,1367.1
6.48074,17.2481
7.14143,728.784
7.87401,5.43444
8.66025,192.254
9.48683,1.12345
9.64365,0.224674
8.83176,0.689058
8.06226,0.992856
7.34847,0.0619023
6.7082,2.02267
6.16441,24.0329
5.74456,4.1918
5.47723,26.4551
5.38516,6.69554
5.47723,26.2521
5.74456,4.1738
6.16441,24.6297
6.7082,2.31059
7.34847,0.0332325
8.06226,0.937353
8.83176,0.609793
9.64365,0.223881
9.89949,2.36671
9.11043,122.2
8.3666,8.12491
7.68115,542.938
7.07107,19.4265
6.55744,845.534
6.16441,35.7013
5.91608,938.265
5.83095,34.6562
5.91608,2020.85
6.16441,23.1714
6.55744,1076.05
7.07107,12.0188
7.68115,329.983
8.3666,3.6617
9.11043,136.812
9.89949,0.743097
9.48683,0.192806
8.77496,1.81434
8.12404,0.0941064
7.54983,5.88146
7.07107,26.6091
6.7082,10.1106
6.48074,14.2635
6.40312,10.3794
6.48074,14.555
6.7082,10.1325
7.07107,25.7434
7.54983,5.6004
8.12404,0.0445036
8.77496,1.94894
9.48683,0.264449
9.94987,59.0745
9.27362,3.81859
8.66025,150.397
8.12404,9.36161
7.68115,465.961
7.34847,13.4077
7.14143,853.421
7.07107,15.5176
7.14143,448.123
7.34847,11.6595
7.68115,386.402
8.12404,5.06961
8.66025,236.51
9.27362,1.60005
9.94987,55.9321
9.84886,1.65436
9.27362,0.0949159
8.77496,4.20107
8.3666,1.84818
8.06226,7.83669
7.87401,4.47425
7.81025,10.3658
7.87401,4.34328
8.06226,7.97848
8.3666,2.07032
8.77496,4.35219
9.27362,0.048469
9.84886,1.64665
9.94987,62.0021
9.48683,2.61255
9.11043,119.606
8.83176,4.44264
8.66025,160.41
8.60233,4.61719
8.66025,217.598
8.83176,3.1672
9.11043,132.432
9.48683,1.54533
9.94987,51.3659
9.89949,0.32681
9.64365,3.51722
9.48683,0.0023008
9.43398,4.21457
9.48683,0.000723645
9.64365,3.5078
9.89949,0.270416
9.89949,3.45157
9.84886,0.253129
9.89949,3.5021
9.79796,58.9276
9.43398,1.77675
9.16515,124.134
9,2.166
8.94427,163.977
9,1.89745
9.16515,107.203
9.43398,1.05823
9.79796,63.9617
9.48683,3.09361
9,0.0971179
8.60233,7.1282
8.30662,2.03216
8.12404,10.4261
8.06226,0.138562
8.12404,10.3022
8.30662,0.0891483
8.60233,7.10186
9,0.623199
9.48683,3.16799
9.38083,97.7052
8.77496,3.7232
8.24621,287.97
7.81025,7.25654
7.48331,479.921
7.28011,9.47463
7.2111,556.948
7.28011,7.63983
7.48331,531.996
7.81025,4.2985
8.24621,278.069
8.77496,1.59597
9.38083,96.543
9.48683,1.60676
8.77496,0.0429338
8.12404,5.27991
7.54983,0.170283
7.07107,11.8322
6.7082,0.680707
6.48074,18.1273
6.40312,0.086028
6.48074,17.7689
6.7082,0.0607854
7.07107,11.8217
7.54983,0.212947
8.12404,5.43163
8.77496,0.024908
9.48683,1.63319
9.79796,64.7077
9,3.66278
8.24621,265.128
7.54983,10.3022
6.9282,857.357
6.40312,19.3121
6,1278.68
5.74456,26.4489
5.65685,1383.65
5.74456,21.8816
6,1594.5
6.40312,11.5733
6.9282,785.141
7.54983,4.32576
8.24621,253.067
9,1.04434
9.79796,69.4264
9.43398,0.0213206
8.60233,1.30737
7.81025,3.97404
7.07107,4.74615
6.40312,0.169644
5.83095,8.52682
5.38516,68.3136
5.09902,13.3581
5,49.7496
5.09902,16.0655
5.38516,33.0582
5.83095,9.59331
6.40312,20.5809
7.07107,4.21664
7.81025,0.0271597
8.60233,1.30926
9.43398,0.244316
9.16515,137.584
8.30662,6.24102
7.48331,548.271
6.7082,20.188
6,801.2
5.38516,39.923
4.89898,3003.58
4.58258,40.7672
4.47214,5031.56
4.58258,39.1256
4.89898,1390.3
5.38516,23.575
6,1193.75
6.7082,7.85645
7.48331,663.359
8.30662,1.89212
9.16515,120.113
9.89949,0.0531065
9,0.477151
8.12404,0.187501
7.28011,15.8699
6.48074,0.366629
5.74456,0.00290534
5.09902,2.87888
4.58258,421.367
4.24264,3.08141
4.12311,229.204
4.24264,1.05836
4.58258,151.991
5.09902,1.78786
5.74456,127.384
6.48074,0.814027
7.28011,3.11845e-05
8.12404,0.213356
9,0.961867
9.89949,0.0441098
9.84886,1.85444
8.94427,128.828
8.06226,8.70844
7.2111,540.965
6.40312,21.6815
5.65685,2898.2
5,40.4006
4.47214,2317.56
4.12311,68.4031
4,1440.79
4.12311,48.2841
4.47214,5559.12
5,24.2255
5.65685,2027.24
6.40312,10.045
7.2111,408.815
8.06226,2.34379
8.94427,163.639
9.84886,0.363507
9.89949,0.0531065
9,0.477151
8.12404,0.187501
7.28011,15.8699
6.48074,0.366629
5.74456,0.00290534
5.09902,2.87888
4.58258,421.367
4.24264,3.08141
4.12311,229.204
4.24264,1.05836
4.58258,151.991
5.09902,1.78786
5.74456,127.384
6.48074,0.814027
7.28011,3.11845e-05
8.12404,0.213356
9,0.961867
9.89949,0.0441098
9.16515,137.584
8.30662,6.24102
7.48331,548.271
6.7082,20.188
6,801.2
5.38516,39.923
4.89898,3003.58
4.58258,40.7672
4.47214,5031.56
4.58258,39.1256
4.89898,1390.3
5.38516,23.575
6,1193.75
6.7082,7.85645
7.48331,663.359
8.30662,1.89212
9.16515,120.113
9.43398,0.0213206
8.60233,1.30737
7.81025,3.97404
7.07107,4.74615
6.40312,0.169644
5.83095,8.52682
5.38516,68.3136
5.09902,13.3581
5,49.7496
5.09902,16.0655
5.38516,33.0582
5.83095,9.59331
6.40312,20.5809
7.07107,4.21664
7.81025,0.0271597
8.60233,1.30926
9.43398,0.244316
9.79796,64.7077
9,3.66278
8.24621,265.128
7.54983,10.3022
6.9282,857.357
6.40312,19.3121
6,1278.68
5.74456,26.4489
5.65685,1383.65
5.74456,21.8816
6,1594.5
6.40312,11.5733
6.9282,785.141
7.54983,4.32576
8.24621,253.067
9,1.04434
9.79796,69.4264
9.48683,1.60676
8.77496,0.0429338
8.12404,5.27991
7.54983,0.170283
7.07107,11.8322
6.7082,0.680707
6.48074,18.1273
6.40312,0.086028
6.48074,17.7689
6.7082,0.0607854
7.07107,11.8217
7.54983,0.212947
8.12404,5.43163
8.77496,0.024908
9.48683,1.63319
9.38083,97.7052
8.77496,3.7232
8.24621,287.97
7.81025,7.25654
7.48331,479.921
7.28011,9.47463
7.2111,556.948
7.28011,7.63983
7.48331,531.996
7.81025,4.2985
8.24621,278.069
8.77496,1.59597
9.38083,96.543
9.48683,3.09361
9,0.0971179
8.60233,7.1282
8.30662,2.03216
8.12404,10.4261
8.06226,0.138562
8.12404,10.3022
8.30662,0.0891483
8.60233,7.10186
9,0.623199
9.48683,3.16799
9.79796,58.9276
9.43398,1.77675
9.16515,124.134
9,2.166
8.94427,163.977
9,1.89745
9.16515,107.203
9.43398,1.05823
9.79796,63.9617
9.89949,3.45157
9.84886,0.253129
9.89949,3.5021
9.94987,53.3582
9.69536,0.754772
9.53939,85.1658
9.48683,0.724697
9.53939,87.7815
9.69536,0.461363
9.94987,54.157
9.89949,0.00956203
