s,intensity
1.93619,31578.6
1.93799,31898.7
1.93979,32205.7
1.94159,32480.4
1.94339,32730.7
1.94519,32957.1
1.94699,33177.7
1.94879,33360.3
1.95059,33526.1
1.95239,33666.9
1.95419,33783.3
1.95599,33880.7
1.95779,33950.2
1.95959,33991.6
1.96139,34009.6
1.96319,33997.1
1.96499,33966
1.96679,33924.6
1.96859,33843.6
1.97039,33731.1
1.97219,33604.6
1.97399,33454.5
1.9758,33284.9
1.9776,33086.2
1.9794,32865.3
1.9812,32625.1
1.983,32362.5
1.9848,32084.1
1.9866,31773.8
1.9884,31450.8
1.9902,31102
1.992,30744.1
1.9938,30376.5
1.9956,29977.6
1.9974,29567.5
1.9992,29141.2
2.001,28706.3
2.0028,28246.5
2.0046,27776.9
2.0064,27302.8
2.0082,26817.3
2.01,26320
2.0118,25811.7
2.0136,25304.5
2.0154,24783.7
2.0172,24247
2.019,23712.4
2.0208,23176.4
2.0226,22634.4
2.02441,22091.5
2.02621,21550.6
2.02801,21005.1
2.02981,20454.9
2.03161,19906.6
2.03341,19361.7
2.03521,18821.8
2.03701,18285.3
2.03881,17746.2
2.04061,17215.1
2.04241,16689.6
2.04421,16169.3
2.04601,15656.9
2.04781,15144.7
2.04961,14646.2
2.05141,14160.8
2.05321,13673.3
2.05501,13203.6
2.05681,12735.6
2.05861,12275.6
2.06041,11834.4
2.06221,11399.6
2.06401,10974.6
2.06581,10555.8
2.06761,10160.9
2.06941,9767.9
2.07121,9391.81
2.07301,9024.92
2.07481,8666.54
2.07662,8326.54
2.07842,7981.83
2.08022,7659.12
2.08202,7364.35
2.08382,7067.71
2.08562,6780.59
2.08742,6506.73
2.08922,6242.88
2.09102,5994.63
2.09282,5756.1
2.09462,5523.62
2.09642,5309.52
2.09822,5103.41
2.10002,4903.58
2.10182,4723.66
2.10362,4548.27
2.10542,4380.07
2.10722,4222.59
2.10902,4076.8
2.11082,3939.43
2.11262,3807.31
2.11442,3686.76
2.11622,3568.27
2.11802,3462.73
2.11982,3370.41
2.12162,3277.88
2.12342,3192.61
2.12523,3112.23
2.12703,3037.65
2.12883,2968.67
2.13063,2910.44
2.13243,2855.13
2.13423,2803.31
2.13603,2758.49
2.13783,2714.86
2.13963,2673.25
2.14143,2638.55
2.14323,2605.97
2.14503,2579.13
2.14683,2556.07
2.14863,2530.86
2.15043,2512.26
2.15223,2493.13
2.15403,2474.19
2.15583,2463.76
2.15763,2449.19
2.15943,2436.28
2.16123,2431.94
2.16303,2423.78
2.16483,2413.05
2.16663,2406.42
2.16843,2400.42
2.17023,2392.07
2.17203,2388.99
2.17383,2385.36
2.17564,2384.23
2.17744,2378.34
2.17924,2372.63
2.18104,2368.57
2.18284,2367.78
2.18464,2363.67
2.18644,2359.74
2.18824,2354.49
2.19004,2348.07
2.19184,2344.13
2.19364,2340.87
2.19544,2335.54
2.19724,2330.84
2.19904,2326.8
2.20084,2320.77
2.20264,2313.27
2.20444,2304.62
2.20624,2296.98
2.20804,2292.7
2.20984,2288.11
2.21164,2273.89
2.21344,2270.36
2.21524,2258.38
2.21704,2252.63
2.21884,2246.38
2.22064,2232.97
2.22244,2224.32
2.22424,2215.11
2.22605,2205.88
2.22785,2197.64
2.22965,2186.29
2.23145,2178.91
2.23325,2163.14
2.23505,2153.51
2.23685,2144.35
2.23865,2136.1
2.24045,2124.92
2.24225,2112.57
2.24405,2102.6
2.24585,2089.78
2.24765,2081.24
2.24945,2068.69
2.25125,2058.8
2.25305,2049.34
2.25485,2039.03
2.25665,2031.14
2.25845,2021.49
2.26025,2009.37
2.26205,1997.22
2.26385,1988.79
2.26565,1979.4
2.26745,1970.31
2.26925,1965.28
2.27105,1954.97
2.27285,1949.11
2.27465,1940.67
2.27646,1935.47
2.27826,1932.08
2.28006,1919.5
2.28186,1914.6
2.28366,1913.88
2.28546,1912.84
2.28726,1911.36
2.28906,1908.45
2.29086,1903.46
2.29266,1906.31
2.29446,1907.55
2.29626,1911.86
2.29806,1916.96
2.29986,1919.28
2.30166,1931.26
2.30346,1936.73
2.30526,1947.43
2.30706,1958.04
2.30886,1966.12
2.31066,1983.24
2.31246,2003.03
2.31426,2019.84
2.31606,2041.22
2.31786,2065.71
2.31966,2089.19
2.32146,2116.1
2.32326,2147.82
2.32507,2175.89
2.32687,2213.42
2.32867,2248.04
2.33047,2287.98
2.33227,2328.27
2.33407,2375.6
2.33587,2424.34
2.33767,2474.38
2.33947,2528.54
2.34127,2584.85
2.34307,2645.88
2.34487,2708.1
2.34667,2773.56
2.34847,2838.99
2.35027,2912.17
2.35207,2987.07
2.35387,3067.84
2.35567,3150.49
2.35747,3234.25
2.35927,3322.56
2.36107,3412.58
